Current Facility,Race,index,Offense Code,Offense,Severity,Sentence (Years),Gender,Age,Sentence Date,tot
Coffield,B,1440,1440,1440,1440,1440,1440,1440,1440,3965
Coffield,W,1256,1256,1256,1256,1256,1256,1256,1256,3965
Coffield,H,1237,1237,1237,1237,1237,1237,1237,1237,3965
Coffield,A,30,30,30,30,30,30,30,30,3965
Coffield,I,2,2,2,2,2,2,2,2,3965
Allred,B,1407,1407,1407,1407,1407,1407,1407,1407,3693
Allred,W,1141,1141,1141,1141,1141,1141,1141,1141,3693
Allred,H,1133,1133,1133,1133,1133,1133,1133,1133,3693
Allred,A,12,12,12,12,12,12,12,12,3693
Beto,B,1332,1332,1332,1332,1332,1332,1332,1332,3438
Beto,W,1262,1262,1262,1262,1262,1262,1262,1262,3438
Beto,H,827,827,827,827,827,827,827,827,3438
Beto,A,12,12,12,12,12,12,12,12,3438
Beto,O,3,3,3,3,3,3,3,3,3438
Beto,I,1,1,1,1,1,1,1,1,3438
Beto,U,1,1,1,1,1,1,1,1,3438
McConnell,H,1430,1430,1430,1430,1430,1430,1430,1430,2946
McConnell,B,905,905,905,905,905,905,905,905,2946
McConnell,W,600,600,600,600,600,600,600,600,2946
McConnell,A,11,11,11,11,11,11,11,11,2946
Clements,B,1009,1009,1009,1009,1009,1009,1009,1009,2927
Clements,H,980,980,980,980,980,980,980,980,2927
Clements,W,923,923,923,923,923,923,923,923,2927
Clements,A,13,13,13,13,13,13,13,13,2927
Clements,I,2,2,2,2,2,2,2,2,2927
Robertson,B,1055,1055,1055,1055,1055,1055,1055,1055,2924
Robertson,H,1017,1017,1017,1017,1017,1017,1017,1017,2924
Robertson,W,831,831,831,831,831,831,831,831,2924
Robertson,A,20,20,20,20,20,20,20,20,2924
Robertson,I,1,1,1,1,1,1,1,1,2924
Estelle,B,1111,1111,1111,1111,1111,1111,1111,1111,2881
Estelle,H,879,879,879,879,879,879,879,879,2881
Estelle,W,877,877,877,877,877,877,877,877,2881
Estelle,A,12,12,12,12,12,12,12,12,2881
Estelle,I,2,2,2,2,2,2,2,2,2881
Polunsky,B,1323,1323,1323,1323,1323,1323,1323,1323,2871
Polunsky,H,815,815,815,815,815,815,815,815,2871
Polunsky,W,715,715,715,715,715,715,715,715,2871
Polunsky,A,17,17,17,17,17,17,17,17,2871
Polunsky,I,1,1,1,1,1,1,1,1,2871
Hughes,B,1147,1147,1147,1147,1147,1147,1147,1147,2868
Hughes,W,885,885,885,885,885,885,885,885,2868
Hughes,H,821,821,821,821,821,821,821,821,2868
Hughes,A,13,13,13,13,13,13,13,13,2868
Hughes,I,2,2,2,2,2,2,2,2,2868
Stiles,B,1137,1137,1137,1137,1137,1137,1137,1137,2785
Stiles,W,848,848,848,848,848,848,848,848,2785
Stiles,H,784,784,784,784,784,784,784,784,2785
Stiles,A,13,13,13,13,13,13,13,13,2785
Stiles,I,2,2,2,2,2,2,2,2,2785
Stiles,U,1,1,1,1,1,1,1,1,2785
Michael,B,1278,1278,1278,1278,1278,1278,1278,1278,2728
Michael,W,779,779,779,779,779,779,779,779,2728
Michael,H,664,664,664,664,664,664,664,664,2728
Michael,A,7,7,7,7,7,7,7,7,2728
Wynne,B,930,930,930,930,930,930,930,930,2494
Wynne,W,819,819,819,819,819,819,819,819,2494
Wynne,H,735,735,735,735,735,735,735,735,2494
Wynne,A,10,10,10,10,10,10,10,10,2494
Telford,B,1027,1027,1027,1027,1027,1027,1027,1027,2391
Telford,W,722,722,722,722,722,722,722,722,2391
Telford,H,631,631,631,631,631,631,631,631,2391
Telford,A,10,10,10,10,10,10,10,10,2391
Telford,I,1,1,1,1,1,1,1,1,2391
Ferguson,B,1006,1006,1006,1006,1006,1006,1006,1006,2379
Ferguson,H,820,820,820,820,820,820,820,820,2379
Ferguson,W,544,544,544,544,544,544,544,544,2379
Ferguson,A,9,9,9,9,9,9,9,9,2379
Wainwright,B,936,936,936,936,936,936,936,936,2376
Wainwright,H,780,780,780,780,780,780,780,780,2376
Wainwright,W,649,649,649,649,649,649,649,649,2376
Wainwright,A,11,11,11,11,11,11,11,11,2376
Connally,H,1063,1063,1063,1063,1063,1063,1063,1063,2329
Connally,B,688,688,688,688,688,688,688,688,2329
Connally,W,567,567,567,567,567,567,567,567,2329
Connally,A,10,10,10,10,10,10,10,10,2329
Connally,I,1,1,1,1,1,1,1,1,2329
Ellis,B,814,814,814,814,814,814,814,814,2297
Ellis,W,813,813,813,813,813,813,813,813,2297
Ellis,H,663,663,663,663,663,663,663,663,2297
Ellis,A,4,4,4,4,4,4,4,4,2297
Ellis,U,2,2,2,2,2,2,2,2,2297
Ellis,I,1,1,1,1,1,1,1,1,2297
Garza West,H,1307,1307,1307,1307,1307,1307,1307,1307,2228
Garza West,B,523,523,523,523,523,523,523,523,2228
Garza West,W,387,387,387,387,387,387,387,387,2228
Garza West,A,11,11,11,11,11,11,11,11,2228
Plane,W,1025,1025,1025,1025,1025,1025,1025,1025,2216
Plane,H,613,613,613,613,613,613,613,613,2216
Plane,B,572,572,572,572,572,572,572,572,2216
